Round,Duration,Winner,Sets,Set1,Set2,Set3,Set4,Set5,Tiebreaks,Rank1,Aces1,Winners1,Errors1,Dist1,Rank2,Aces2,Winners2,Errors2,Dist2
3,176,2,4,0,5,-3,0,-1,2,1,7,34,31,10.4,28,31,56,52,10.8
3,117,2,3,2,3,2,-1,-1,0,-1,8,25,37,9.1,5,4,23,14,9.1
3,132,1,4,2,3,-4,5,-1,0,11,7,33,21,11.9,-1,10,30,27,10.9
3,109,1,3,3,3,2,-1,-1,0,9,19,44,19,8.1,-1,2,14,17,7.6
3,173,1,4,0,0,2,4,-1,2,-1,11,59,34,10.4,-1,8,49,29,10.3
2,198,1,5,2,-3,6,-2,4,0,24,10,42,51,N/A,-1,3,39,51,N/A
3,137,2,4,0,2,-3,3,-1,1,-1,9,49,30,N/A,-1,8,42,21,N/A
3,107,2,3,4,2,2,-1,-1,0,14,5,31,21,N/A,19,9,38,18,N/A
3,159,2,4,3,2,-2,5,-1,0,24,8,24,34,11,10,13,44,34,11.2
3,161,1,4,3,0,3,2,-1,1,15,27,48,28,9.1,22,11,46,43,10.7
3,93,1,3,4,4,2,-1,-1,0,-1,12,32,18,9.4,31,2,13,22,10.2
3,264,2,5,0,-3,0,4,2,2,18,38,101,53,8.4,12,21,88,20,8.2
3,167,1,4,0,0,2,5,-1,2,32,18,73,29,9.1,-1,7,36,16,8.4
3,156,1,4,-4,0,4,3,-1,1,7,6,47,31,10.3,-1,7,49,26,9.9
4,96,1,3,4,3,2,-1,-1,0,3,6,35,13,9,-1,8,23,21,9.1
4,102,2,3,2,5,2,-1,-1,0,15,11,29,19,11.2,2,8,36,6,11.6
4,182,2,5,-2,-3,2,2,2,0,11,12,44,27,8.6,6,22,53,44,8.5
4,175,2,5,2,-2,-3,2,2,0,19,29,71,42,7.9,32,27,75,32,8.7
4,119,1,3,2,0,2,-1,-1,1,28,23,53,15,8.4,-1,9,31,17,8.2
4,235,2,5,-2,3,0,0,3,2,-1,26,53,33,9.4,10,6,52,31,10.2
5,197,1,5,0,-2,3,0,3,2,3,27,67,24,7.9,9,23,59,36,7.6
5,233,2,5,0,5,-3,-2,5,1,12,15,59,47,12,2,14,46,23,11.3
5,151,2,4,2,2,-2,2,-1,0,28,15,36,28,8,6,13,58,16,8.3
5,114,1,3,0,3,4,-1,-1,0,10,10,35,24,8.8,32,9,23,34,9.5
6,204,1,5,3,0,-2,2,3,1,6,23,75,40,7.3,3,16,49,14,7.2
6,117,2,3,3,3,3,-1,-1,0,10,5,32,30,12.6,2,7,20,9,12.2
7,168,2,3,2,0,0,-1,-1,2,6,8,39,29,11.2,2,7,39,12,10.9
